"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","date","number_plants_harvested","trait","rep","flag","data"
2014,"density","JGI","rain_fed",400,198,205,"RIL_086","high_density",31,31014,41910,3,"basal_circumference",2,".",24.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_086","high_density",31,31014,41910,3,"basal_circumference",3,".",24.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_086","high_density",31,31014,41910,3,"branch_number_per_plant",1,".",0.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_086","high_density",31,31014,41910,3,"branch_number_per_plant",2,".",5.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_086","high_density",31,31014,41910,3,"branch_number_per_plant",3,".",6.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_086","high_density",31,31014,41910,3,"culm_height",1,".",218.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_086","high_density",31,31014,41910,3,"culm_height",2,".",310.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_086","high_density",31,31014,41910,3,"culm_height",3,".",370.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_086","high_density",31,31014,41910,3,"second_tiller_height",1,".","."
2014,"density","JGI","rain_fed",400,198,205,"RIL_086","high_density",31,31014,41910,3,"second_tiller_height",2,".",323.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_086","high_density",31,31014,41910,3,"second_tiller_height",3,".",291.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_086","high_density",31,31014,41910,3,"tiller_number_per_plant",1,".",1.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_086","high_density",31,31014,41910,3,"tiller_number_per_plant",2,".",3.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_086","high_density",31,31014,41910,3,"tiller_number_per_plant",3,".",3.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_148","high_density",31,31015,41910,3,"basal_circumference",1,".",14.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_148","high_density",31,31015,41910,3,"basal_circumference",2,".",18.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_148","high_density",31,31015,41910,3,"basal_circumference",3,".",10.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_148","high_density",31,31015,41910,3,"branch_number_per_plant",1,".",3.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_148","high_density",31,31015,41910,3,"branch_number_per_plant",2,".",2.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_148","high_density",31,31015,41910,3,"branch_number_per_plant",3,".",2.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_148","high_density",31,31015,41910,3,"culm_height",1,".",294.000
