"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","number_plants_harvested","date","DOY","subsample_num","trait","flag","data"
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,2,"second_tiller_height",".",209.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,2,"Panicle_Length",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,2,"tiller_number_per_plant",".",2.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,2,"branch_number_per_plant",".",2.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,2,"branch_number_per_plant_sqrt",".",1.414
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,2,"tiller_number_per_plant_sqrt",".",1.414
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,2,"leaf_number_per_plant_sqrt",".",4.472
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,2,"panicle_number_per_plant_sqrt",".",1.414
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,3,"Panicle_number_per_plant",".",2.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,3,"leaf_number_per_plant",".",7.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,3,"culm_height",".",159.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,3,"second_tiller_height",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,3,"Panicle_Length",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,3,"tiller_number_per_plant",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,3,"branch_number_per_plant",".",1.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,3,"branch_number_per_plant_sqrt",".",1.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,3,"tiller_number_per_plant_sqrt",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,3,"leaf_number_per_plant_sqrt",".",2.646
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,3,"panicle_number_per_plant_sqrt",".",1.414
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,1,"Panicle_number_per_plant",".",15.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,1,"leaf_number_per_plant",".",23.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,1,"culm_height",".",154.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,1,"second_tiller_height",".",189.000
