"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","date","DOY","trait","measurement_number","rep","flag","data"
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33181,41884.00,245,"Height",2,2,".",22.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33181,41884.00,245,"Height",2,3,".",22.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33204,41884.00,245,"Height",2,1,".",14.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33204,41884.00,245,"Height",2,2,".",13.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33204,41884.00,245,"Height",2,3,".",14.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33005,41904.00,265,"culm_height",3,1,".",19.6
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33005,41904.00,265,"culm_height",3,2,".",18.5
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33005,41904.00,265,"culm_height",3,3,".",20.5
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33015,41904.00,265,"culm_height",3,1,".",15.8
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33015,41904.00,265,"culm_height",3,2,".",12.3
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33015,41904.00,265,"culm_height",3,3,".",26.9
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33038,41905.00,266,"culm_height",3,1,".",20.9
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33038,41905.00,266,"culm_height",3,2,".",12.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33038,41905.00,266,"culm_height",3,3,".",20.8
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33044,41905.00,266,"culm_height",3,1,".",24.8
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33044,41905.00,266,"culm_height",3,2,".",21.5
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33044,41905.00,266,"culm_height",3,3,".",20.9
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",34,34005,41862.00,223,"Height",1,1,".",6.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",34,34005,41862.00,223,"Height",1,2,".",10.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",34,34005,41862.00,223,"Height",1,3,".",9.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",34,34015,41862.00,223,"Height",1,1,".",6.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",34,34015,41862.00,223,"Height",1,2,".",9.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",34,34015,41862.00,223,"Height",1,3,".",7.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",34,34030,41862.00,223,"Height",1,1,".",8.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",34,34030,41862.00,223,"Height",1,2,".",7.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",34,34030,41862.00,223,"Height",1,3,".",6.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",34,34038,41862.00,223,"Height",1,1,".",10.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",34,34038,41862.00,223,"Height",1,2,".",11.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",34,34038,41862.00,223,"Height",1,3,".",9.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",34,34044,41862.00,223,"Height",1,1,".",8.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",34,34044,41862.00,223,"Height",1,2,".",6.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",34,34044,41862.00,223,"Height",1,3,".",5.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",34,34099,41862.00,223,"Height",1,1,".",4.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",34,34099,41862.00,223,"Height",1,2,".",5.0
