"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","DOY","subsample_num","trait","data"
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,2,"Panicle_number_per_plant",2
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,3,"Panicle_number_per_plant",2
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,4,"Panicle_number_per_plant",2
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,1,"second_tiller_height",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,2,"second_tiller_height",223
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,3,"second_tiller_height",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,4,"second_tiller_height",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,1,"tiller_number_per_plant",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,2,"tiller_number_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,3,"tiller_number_per_plant",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,4,"tiller_number_per_plant",NA
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,1,"branch_number_per_plant",13
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,2,"branch_number_per_plant",18
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,3,"branch_number_per_plant",9
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,4,"branch_number_per_plant",30
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,1,"culm_height",120
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,2,"culm_height",195
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,3,"culm_height",139
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,4,"culm_height",165
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,1,"leaf_number_per_plant",14
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,2,"leaf_number_per_plant",14
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,3,"leaf_number_per_plant",14
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,4,"leaf_number_per_plant",13
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,1,"Panicle_Length",25
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,2,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,3,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,4,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,1,"Panicle_number_per_plant",19
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,2,"Panicle_number_per_plant",13
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,3,"Panicle_number_per_plant",11
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,4,"Panicle_number_per_plant",26
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,1,"second_tiller_height",70
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,2,"second_tiller_height",153
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,3,"second_tiller_height",120
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,4,"second_tiller_height",41
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,1,"tiller_number_per_plant",2
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,2,"tiller_number_per_plant",3
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,3,"tiller_number_per_plant",4
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,4,"tiller_number_per_plant",4
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,1,"branch_number_per_plant",3
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,2,"branch_number_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,3,"branch_number_per_plant",2
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,4,"branch_number_per_plant",0
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,1,"culm_height",259
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,2,"culm_height",227
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,3,"culm_height",377
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,4,"culm_height",300
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,1,"leaf_number_per_plant",6
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,2,"leaf_number_per_plant",5
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,3,"leaf_number_per_plant",8
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,4,"leaf_number_per_plant",15
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,1,"Panicle_Length",65
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,2,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,3,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,4,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,1,"Panicle_number_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,2,"Panicle_number_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,3,"Panicle_number_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,4,"Panicle_number_per_plant",4
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,1,"second_tiller_height",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,2,"second_tiller_height",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,3,"second_tiller_height",210
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,4,"second_tiller_height",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,1,"tiller_number_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,2,"tiller_number_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,3,"tiller_number_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,4,"tiller_number_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"RIL_146","high_density",31,31010,210,1,"branch_number_per_plant",2
2013,"density","JGI","rain_fed",400,123,134,"RIL_146","high_density",31,31010,210,2,"branch_number_per_plant",0
2013,"density","JGI","rain_fed",400,123,134,"RIL_146","high_density",31,31010,210,3,"branch_number_per_plant",0
2013,"density","JGI","rain_fed",400,123,134,"RIL_146","high_density",31,31010,210,4,"branch_number_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"RIL_146","high_density",31,31010,210,1,"culm_height",501
2013,"density","JGI","rain_fed",400,123,134,"RIL_146","high_density",31,31010,210,2,"culm_height",531
2013,"density","JGI","rain_fed",400,123,134,"RIL_146","high_density",31,31010,210,3,"culm_height",474
